,classifier_name,dataset_name,accuracy,fit_time
192,KNN9,dataset43,0.92,0.00599980354309082
193,KNN9,dataset44,0.94,0.007310152053833008
194,KNN9,dataset45,0.94,0.00599980354309082
195,KNN9,dataset46,0.98,0.0011157989501953125
196,KNN9,dataset47,0.96,0.012995004653930664
197,KNN9,dataset48,0.98,0.007002353668212891
198,KNN9,dataset49,1.0,0.006999492645263672
199,KNN9,dataset50,0.94,0.0069997310638427734
200,KNN15,dataset1,1.0,0.0059969425201416016
201,KNN15,dataset2,1.0,0.003085613250732422
202,KNN15,dataset3,0.88,0.009882926940917969
203,KNN15,dataset4,0.94,0.005999565124511719
204,KNN15,dataset5,0.94,0.007004737854003906
205,KNN15,dataset6,0.96,0.005995035171508789
206,KNN15,dataset7,0.96,0.008003473281860352
207,KNN15,dataset8,0.98,0.0059964656829833984
208,KNN15,dataset9,1.0,0.0040361881256103516
209,KNN15,dataset10,0.94,0.009943485260009766
210,KNN15,dataset11,1.0,0.005999326705932617
211,KNN15,dataset12,1.0,0.007003068923950195
212,KNN15,dataset13,0.88,0.005997180938720703
213,KNN15,dataset14,0.94,0.005000114440917969
214,KNN15,dataset15,0.94,0.0069959163665771484
215,KNN15,dataset16,0.96,0.004999399185180664
216,KNN15,dataset17,0.96,0.007004737854003906
217,KNN15,dataset18,0.98,0.005995035171508789
218,KNN15,dataset19,1.0,0.006000995635986328
219,KNN15,dataset20,0.94,0.006999969482421875
220,KNN15,dataset21,1.0,0.005999565124511719
221,KNN15,dataset22,1.0,0.008001327514648438
222,KNN15,dataset23,0.88,0.006998538970947266
223,KNN15,dataset24,0.94,0.006002902984619141
224,KNN15,dataset25,0.94,0.005994319915771484
225,KNN15,dataset26,0.96,0.006000518798828125
226,KNN15,dataset27,0.96,0.0070002079010009766
227,KNN15,dataset28,0.98,0.005999088287353516
228,KNN15,dataset29,1.0,0.006000041961669922
229,KNN15,dataset30,0.94,0.008034467697143555
230,KNN15,dataset31,1.0,0.0049936771392822266
231,KNN15,dataset32,1.0,0.006963968276977539
232,KNN15,dataset33,0.88,0.005999326705932617
233,KNN15,dataset34,0.94,0.005999565124511719
234,KNN15,dataset35,0.94,0.0069904327392578125
235,KNN15,dataset36,0.96,0.006000041961669922
236,KNN15,dataset37,0.96,0.007001161575317383
237,KNN15,dataset38,0.98,0.005999088287353516
238,KNN15,dataset39,1.0,0.005999565124511719
239,KNN15,dataset40,0.94,0.00700068473815918
240,KNN15,dataset41,1.0,0.006000041961669922
241,KNN15,dataset42,1.0,0.007001638412475586
242,KNN15,dataset43,0.88,0.005000114440917969
243,KNN15,dataset44,0.94,0.004998207092285156
244,KNN15,dataset45,0.94,0.007002830505371094
245,KNN15,dataset46,0.96,0.006994724273681641
246,KNN15,dataset47,0.96,0.0069997310638427734
247,KNN15,dataset48,0.98,0.005997419357299805
248,KNN15,dataset49,1.0,0.0070073604583740234
249,KNN15,dataset50,0.94,0.0069963932037353516
250,DecisionTree,dataset1,0.98,0.005997896194458008
251,DecisionTree,dataset2,0.98,0.007965564727783203
252,DecisionTree,dataset3,0.9,0.003998756408691406
253,DecisionTree,dataset4,0.94,0.005003690719604492
254,DecisionTree,dataset5,0.9,0.005008697509765625
255,DecisionTree,dataset6,0.96,0.004007101058959961
256,DecisionTree,dataset7,0.92,0.004971742630004883
257,DecisionTree,dataset8,0.94,0.007980108261108398
258,DecisionTree,dataset9,0.98,0.009022235870361328
259,DecisionTree,dataset10,0.88,0.004029512405395508
260,DecisionTree,dataset11,0.98,0.0040018558502197266
261,DecisionTree,dataset12,0.98,0.008999824523925781
262,DecisionTree,dataset13,0.9,0.007999181747436523
263,DecisionTree,dataset14,0.9,0.007998228073120117
264,DecisionTree,dataset15,0.94,0.0030050277709960938
265,DecisionTree,dataset16,0.96,0.0040013790130615234
266,DecisionTree,dataset17,0.92,0.009000301361083984
267,DecisionTree,dataset18,0.88,0.00500035285949707
268,DecisionTree,dataset19,0.98,0.007033586502075195
269,DecisionTree,dataset20,0.9,0.00399327278137207
270,DecisionTree,dataset21,0.98,0.010071754455566406
271,DecisionTree,dataset22,0.98,0.003998994827270508
272,DecisionTree,dataset23,0.88,0.003995180130004883
273,DecisionTree,dataset24,0.94,0.0069980621337890625
274,DecisionTree,dataset25,0.92,0.00600123405456543
275,DecisionTree,dataset26,0.96,0.00597071647644043
276,DecisionTree,dataset27,0.92,0.0049991607666015625
277,DecisionTree,dataset28,0.88,0.003997325897216797
278,DecisionTree,dataset29,0.98,0.006996631622314453
279,DecisionTree,dataset30,0.9,0.004999637603759766
280,DecisionTree,dataset31,1.0,0.003999948501586914
281,DecisionTree,dataset32,0.98,0.009001493453979492
282,DecisionTree,dataset33,0.88,0.004999399185180664
283,DecisionTree,dataset34,0.94,0.007963180541992188
284,DecisionTree,dataset35,0.94,0.007036924362182617
285,DecisionTree,dataset36,0.96,0.00996708869934082
286,DecisionTree,dataset37,0.92,0.008000850677490234
287,DecisionTree,dataset38,0.88,0.009038686752319336
288,DecisionTree,dataset39,0.98,0.003996610641479492
289,DecisionTree,dataset40,0.9,0.004982948303222656
290,DecisionTree,dataset41,1.0,0.003994941711425781
291,DecisionTree,dataset42,0.98,0.003999948501586914
292,DecisionTree,dataset43,0.9,0.007040977478027344
293,DecisionTree,dataset44,0.92,0.004027366638183594
294,DecisionTree,dataset45,0.9,0.004000663757324219
295,DecisionTree,dataset46,0.96,0.0069599151611328125
296,DecisionTree,dataset47,0.92,0.0040357112884521484
297,DecisionTree,dataset48,0.88,0.004001617431640625
298,DecisionTree,dataset49,0.96,0.00597691535949707
299,DecisionTree,dataset50,0.9,0.003997087478637695
